Entry	Entry Name	Protein names	EC number
A0A3Q9KGX6	A0A3Q9KGX6_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3R0JCG5	A0A3R0JCG5_SHIDY	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3R0JJW2	A0A3R0JJW2_SHIDY	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A3R0X3T3	A0A3R0X3T3_SHIDY	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3R8VYN6	A0A3R8VYN6_PRORE	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3R9JEF4	A0A3R9JEF4_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3R9Z4B7	A0A3R9Z4B7_ACIBZ	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3S0KYR9	A0A3S0KYR9_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3S4JL90	A0A3S4JL90_KLEAE	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3S5E696	A0A3S5E696_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3S8ULA5	A0A3S8ULA5_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3T2UVW0	A0A3T2UVW0_SHIFL	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A3T2UYB5	A0A3T2UYB5_SHIFL	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3Y1QPC3	A0A3Y1QPC3_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A3Z8NKQ0	A0A3Z8NKQ0_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A401KVP1	A0A401KVP1_ASPAW	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A401L8S5	A0A401L8S5_ASPAW	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A421D1I8	A0A421D1I8_9EURO	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A423CZE1	A0A423CZE1_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A427PXQ8	A0A427PXQ8_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A427Q2G2	A0A427Q2G2_PSEPU	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A427X8I5	A0A427X8I5_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A443ZTW8	A0A443ZTW8_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A446ARF1	A0A446ARF1_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A454JMI1	A0A454JMI1_9NEIS	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A483FUD4	A0A483FUD4_KLEPN	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A483K9U0	A0A483K9U0_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A483L7Y6	A0A483L7Y6_KLEPN	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A485RCE4	A0A485RCE4_KLEPN	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A486NBP2	A0A486NBP2_KLEPN	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A486QR63	A0A486QR63_KLEPN	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A486UU50	A0A486UU50_KLEPN	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A494R8K7	A0A494R8K7_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4C3P8D2	A0A4C3P8D2_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4C4KTF7	A0A4C4KTF7_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4P6I797	A0A4P6I797_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4P6TJ29	A0A4P6TJ29_9NEIS	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4P6WK98	A0A4P6WK98_9ENTR	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4P6WRQ6	A0A4P6WRQ6_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4P7D4K4	A0A4P7D4K4_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4P7JAV3	A0A4P7JAV3_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4P7TJN6	A0A4P7TJN6_SHIFM	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4P8BZK5	A0A4P8BZK5_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4P8C1B8	A0A4P8C1B8_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4Q2J8S1	A0A4Q2J8S1_9NEIS	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4R3NKP0	A0A4R3NKP0_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4R4JIN5	A0A4R4JIN5_PHOLU	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4R5K3P2	A0A4R5K3P2_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4R5M9V3	A0A4R5M9V3_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4S1YWA0	A0A4S1YWA0_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4S4ZNH4	A0A4S4ZNH4_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4S8JFL2	A0A4S8JFL2_MUSBA	"Choline monooxygenase, chloroplastic (EC 1.14.15.7) (O-fucosyltransferase family protein)"	1.14.15.7
A0A4U6H0R3	A0A4U6H0R3_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4U6LQ22	A0A4U6LQ22_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4U6M2E1	A0A4U6M2E1_9ENTR	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4U6MPL6	A0A4U6MPL6_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4U9BPC7	A0A4U9BPC7_KLEPN	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4V2X752	A0A4V2X752_9GAMM	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A4V6KRW3	A0A4V6KRW3_KLEPN	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4Y3JAJ8	A0A4Y3JAJ8_ACIPI	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A4Z0ITQ6	A0A4Z0ITQ6_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A514EN22	A0A514EN22_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A553HWP6	A0A553HWP6_9PEZI	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A5A9C048	A0A5A9C048_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A5A9C776	A0A5A9C776_9ENTR	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5B0H857	A0A5B0H857_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5B0K4U5	A0A5B0K4U5_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A5B0SVH6	A0A5B0SVH6_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A5B9A842	A0A5B9A842_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5B9AYX4	A0A5B9AYX4_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5C4RD94	A0A5C4RD94_PHOLU	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A5C6SQ99	A0A5C6SQ99_FUSOX	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A5C7C6C6	A0A5C7C6C6_SERMA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5C7D692	A0A5C7D692_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5E4X511	A0A5E4X511_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5E8P092	A0A5E8P092_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5E9PKU3	A0A5E9PKU3_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5F1F5M6	A0A5F1F5M6_9ESCH	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A5F1I2Q5	A0A5F1I2Q5_9ESCH	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5J6QPD3	A0A5J6QPD3_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5K1MM45	A0A5K1MM45_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5K6CU66	A0A5K6CU66_ACIB3	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5K7U4M7	A0A5K7U4M7_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5N7TYD5	A0A5N7TYD5_ACISP	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5P2MKT7	A0A5P2MKT7_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A5R8UK25	A0A5R8UK25_9ESCH	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5S9BS29	A0A5S9BS29_9NEIS	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5U9RNJ3	A0A5U9RNJ3_SALET	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A5Y1YHH3	A0A5Y1YHH3_SALDZ	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A653JZE8	A0A653JZE8_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A654KWV0	A0A654KWV0_ACIBM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A658NXB7	A0A658NXB7_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A658NXQ4	A0A658NXQ4_9ENTR	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A658Y5N4	A0A658Y5N4_SHIFL	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A658YY48	A0A658YY48_SHIFL	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A663AUX6	A0A663AUX6_9ENTR	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6A6BVK3	A0A6A6BVK3_ZASCE	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A6A7YM85	A0A6A7YM85_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6B8MXU7	A0A6B8MXU7_KLEOX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6C9JAK9	A0A6C9JAK9_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6C9QDD9	A0A6C9QDD9_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6D0D8V0	A0A6D0D8V0_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6D0UNW9	A0A6D0UNW9_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6F8TK71	A0A6F8TK71_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6G4BZ98	A0A6G4BZ98_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6G4CEE8	A0A6G4CEE8_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6G6ITE7	A0A6G6ITE7_PSENT	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6G6PFL7	A0A6G6PFL7_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6G6Q6K8	A0A6G6Q6K8_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6G6V051	A0A6G6V051_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6G9RJ79	A0A6G9RJ79_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6H0FWX7	A0A6H0FWX7_ACIPI	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6H2GDJ1	A0A6H2GDJ1_9ESCH	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6H2GP24	A0A6H2GP24_9ESCH	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6H2VLA1	A0A6H2VLA1_ACIPI	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6H3ARZ9	A0A6H3ARZ9_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6H3B0N9	A0A6H3B0N9_9ENTR	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6H3SRD5	A0A6H3SRD5_ACIBA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6I2I3G2	A0A6I2I3G2_9ENTR	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6I5AGX4	A0A6I5AGX4_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6I5RRM0	A0A6I5RRM0_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6I6GUQ9	A0A6I6GUQ9_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6J1C1E5	A0A6J1C1E5_MOMCH	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A6J1C563	A0A6J1C563_MOMCH	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A6L5HKC4	A0A6L5HKC4_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6L5I1F7	A0A6L5I1F7_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6L6F7Y7	A0A6L6F7Y7_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6L6FWC5	A0A6L6FWC5_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6L6TIH6	A0A6L6TIH6_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6L6ZP98	A0A6L6ZP98_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6L7EFI5	A0A6L7EFI5_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6L9JL15	A0A6L9JL15_PHOLM	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6M1H9E1	A0A6M1H9E1_SERMA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6N3QKM3	A0A6N3QKM3_SHIFL	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6N3QRN3	A0A6N3QRN3_SHIFL	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6N3R4L9	A0A6N3R4L9_SHIFL	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6N3R5N6	A0A6N3R5N6_SHIFL	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6N6JZL8	A0A6N6JZL8_9ENTR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A6N9MSR7	A0A6N9MSR7_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6P1LG26	A0A6P1LG26_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6P2HZ22	A0A6P2HZ22_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6P5ZMA1	A0A6P5ZMA1_DURZI	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
A0A6S4UNQ9	A0A6S4UNQ9_ACIPI	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6S5TRJ5	A0A6S5TRJ5_PSEPU	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6S6ZE41	A0A6S6ZE41_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6S6ZF41	A0A6S6ZF41_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A6S7DZJ4	A0A6S7DZJ4_9BURK	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A744CC78	A0A744CC78_SALER	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A756LGV2	A0A756LGV2_SALER	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A765X5T8	A0A765X5T8_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A777CFQ6	A0A777CFQ6_ECOLX	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A7A2XVV9	A0A7A2XVV9_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A7C1VCI2	A0A7C1VCI2_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A7C9KTS8	A0A7C9KTS8_9GAMM	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A7D5IAL1	A0A7D5IAL1_9PSED	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A7D6BTN5	A0A7D6BTN5_SERMA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A7D6PKG4	A0A7D6PKG4_CITFR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A7D6T0Z4	A0A7D6T0Z4_PRORE	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A7D6TZ64	A0A7D6TZ64_CITFR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A7D6URG7	A0A7D6URG7_CITFR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A7D7DFV2	A0A7D7DFV2_ECOLX	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A7G2IYD7	A0A7G2IYD7_CITFR	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A7G6K6I0	A0A7G6K6I0_SHIBO	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)	1.14.12.19
A0A7H2PNZ2	A0A7H2PNZ2_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A7H2TIG1	A0A7H2TIG1_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A7H2V9Q9	A0A7H2V9Q9_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A7H2XY07	A0A7H2XY07_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A7H4K4B8	A0A7H4K4B8_9GAMM	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
A0A7H4SDY0	A0A7H4SDY0_KLEVA	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
